source_id;urn_cts;is_primary_text;has_pdf;anchor_external;pdf_path;digital_source;author;language;has_translation;pages;title;publisher;publication_place;source_book;notes;source_type;year;doi;discipline;txt_path
Matthews1991_FragmentsO;;No;True;;;;Matthews R.J.;;No;1-15;Fragments Of Officialdom From Fara;British Institute for the Study of Iraq;;;;Article in Book;1991;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Matthews1991_FragmentsO.txt
Meyer1982_TellEdDerI;;No;True;;;;Meyer L.D.;;No;pp. 148-155;Tell Ed Dèr Ii. Progress Reports (first Series);GB Press- Gregorian Biblical Press;;Orientalia, 1982, NOVA SERIES, Vol. 51, No. 1;;Article in Book;1982;;;
Michalowski2012_LiteracySc;;No;True;;;;Michalowski P.;;No;39-59;Literacy, Schooling And The Transmission Of Knowledge In Early Mesopotamian Culture;NEDERLANDS INSTITUUT VOOR HET NABIJE OOSTEN, LEIDEN;;STUDIES IN SCHOOL EDUCATION IN THE ANCIENT NEAR EAST AND BEYOND, edited by W.S. VAN EGMOND and W.H. VAN SOLDT;;Article in Book;2012;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Michalowski2012_LiteracySc.txt
Michalowski2013_FromTheCol;;No;True;;;;Michalowski P.;;No;Vol. 107, 15-22;From The Collections Of An Old Babylonian Literary Connoisseur;Presses Universitaires de France;;Revue d'Assyriologie et d'archéologie orientale ,;;Article in Book;2013;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Michalowski2013_FromTheCol.txt
Michel2018_Constituti;;No;True;;;https://www.degruyterbrill.com/document/doi/10.1515/9783110541397-004/html;Michel C.;;No;pp.43-70;Constitution, Contents, Filing And Use Of Private Archives: The Case Of Old Assyrian Archives (nineteenth Century Bce);;;De Gruyter, Studies in Manuscript Cultures, 9783110541397-004.10.1515/9783110541397.halshs-01967549;;Article in Book;2018;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Michel2018_Constituti.txt
Mieroop1986_NippurText;;No;True;;;;Mieroop M.V.D.;;No;31-52;Nippur Texts From The Early Isin Period;;;JANES 18 (1986);;Article in Book;1986;;;
Pearce1995_TheScribes;;No;True;;;;Pearce L.E.;;No;2265-2278;The Scribes And Scholars Of Ancient Mesopotamia;;;Civilizations of the Ancient Near East,JACK M. SASSON;;Article in Book;1995;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Pearce1995_TheScribes.txt
Peters1903_ReviewTheE;;No;True;;;;Peters J.P.;;No;Vol. 7, No. 4 (Oct., 1903), pp. 712-730;Review: The Excavation Of Nippur;The University of Chicago Press;;Explorations in Bible Lands during the Nineteenth Century by H. V.Hilprecht, Dr. Benzinger, Dr. Hommel, Dr. Jensen and Dr. Steindorff;;Article in Book;1903;;;
Peters1905_TheNippurL;;No;True;;;;Peters J.P.;;No;145 -164;The Nippur Library;;;Journal of the American Oriental Society;;Article in Book;1905;;;
Pickworth2005_Excavation;;No;True;;;;Pickworth D.;;No;pp. 295-316;Excavations At Nineveh: The Halzi Gate;British Institute for the Study of Iraq;;Nineveh. Papers of the 49th Rencontre Assyriologique Internationale, Part Two;;Article in Book;2005;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Pickworth2005_Excavation.txt
Reade2017_TheManufac;;No;True;;;Doi:10.1017/irq.2016.10;Reade J.E.;;No;163-103;The Manufacture, Evaluation And Conservation Of Clay Tablets Inscribed In Cuneiform: Traditional Problems And Solutions;Cambridge University Press;;IRAQ(2017)79163–202;;Article in Book;2017;;;
Reckling0000_TheArchaeo;;No;True;;;;Reckling L.;;No;1-7;The Archaeology Of Tell Ras Shamra;;;;;Article;Unknown;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Reckling0000_TheArchaeo.txt
Rhaines1956_LoTheAncie;;No;True;;;oi.uchicago.edu;Rhaines;;No;1;Lo, The Ancient Sumerians The Nippur Expedition;;;;;Archaeological Report;1956;;;
Robson0000_Fromashurb;;No;True;;;;Robson E.;;No;10-48;From ‘ashurbanipal’s Library’ And The ‘stream Of Tradition’ To New Approaches To Cuneiform Scholarship;;;Ancient Knowledge Networks- A Social Geography of Cuneiform Scholarship in First-Millennium;;Article in Book;Unknown;;;
Robson2000_Mathematic;;No;True;;;;Robson E.;;No;11-48;Mathematical Cuneiform Tablets In Philadelphia;;;SCIAMVS 1 (2000);;Article in Book;2000;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Robson2000_Mathematic.txt
Robson2001_TheTabletH;Null;No;True;;;https://shs.cairn.info/revue-d-assyriologie-2001-1-page-39;Eleanor Robson;en;No;39-66;The Tablet House A Scribal School In Old Babylonian Nippur;Presses Universitaires de France (PUF);Paris;;Null;article in book;2001;10.3917/assy.093.0039;assyriology;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Robson2001_TheTabletH.txt
Robson2008_Mathematic;;No;True;;;;Robson E.;;No;1-26;Mathematics In Ancient Iraq;;;;;Article in Book;2008;;;
Robson2011_EmpiricalS;;No;True;;;http//dnb.d-nb.de;Robson E.;;No;;Empirical Scholarship In The Neo Assyrian Court;;;The Empirical Dimension of Ancient Near Eastern Studies, Gebhard Selz;;Article in Book;2011;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Robson2011_EmpiricalS.txt
Robson2012_TheProduct;Null;No;True;;;https://academic.oup.com/edited-volume/27992/chapter-abstract/211708565;Eleanor Robson;en;No;;The Production And Dissemination of Scholarly Knowledge;Oxford Handbook;Oxford;;Null;article in book;2012;10.1093/oxfordhb/9780199557301.013.0026;archaeology;
